branch_id,address_id,branch_name,swift_code,phone_number
1,1,Lake Nicholasmouth Branch,TJZGGBL9MFJ,+1-862-183-6761
2,2,Port Marissaside Branch,CHYMGBQWUCC,(893)207-4711
3,3,North Carlos Branch,TBKVGBH9BG4,367-646-0864x08341
4,4,North Cherylport Branch,FXHMGBII4IX,628.489.2695x058
5,5,Alexandriamouth Branch,QZLVGBTE5BM,(686)727-4068x92129
6,6,Davidsonfurt Branch,UNVQGBI3QB8,(445)487-3992x664
7,7,North Jessica Branch,SCDTGBUFGE4,+1-067-171-9975x112
8,8,Coleton Branch,RMZNGBY742E,001-183-059-4381x957
9,9,Davilaland Branch,ILLVGB1O09P,+1-998-762-9861x1402
10,10,West Juliestad Branch,TRTBGBN0AHC,244-674-5967x6989
11,11,New Victor Branch,UEVKGBKW55U,914.027.8393x59212
12,12,Daltonbury Branch,FJXEGBWEETZ,(096)719-9030x661
