transaction_id,type_id,loan_payment_id,employee_id,from_account_id,to_account_id,amount,transaction_date
1,3,NULL,NULL,2106,1066,760.77,2022-08-20
2,1,NULL,248,195,NULL,2033.29,2023-04-15
3,3,NULL,NULL,355,2329,1221.31,2021-05-13
4,3,NULL,NULL,1630,1979,848.22,2022-05-15
5,2,NULL,NULL,846,NULL,494.62,2023-02-03
6,3,NULL,NULL,1416,1914,50.0,2015-12-17
7,1,NULL,NULL,1682,NULL,738.65,2021-09-01
8,1,NULL,937,2178,NULL,4050.38,2018-07-20
9,3,NULL,NULL,1481,609,1489.29,2018-08-12
10,1,NULL,710,113,NULL,2909.48,2020-01-08
11,1,NULL,629,1537,NULL,2327.03,2016-05-12
12,4,25834,NULL,2298,NULL,4116.87,2020-05-13
13,2,NULL,NULL,1035,NULL,442.95,2020-04-03
14,1,NULL,NULL,634,NULL,100.0,2019-04-20
15,2,NULL,NULL,849,NULL,44.54,2020-06-12
16,1,NULL,785,99,NULL,1606.98,2020-12-28
17,1,NULL,965,1212,NULL,2452.1,2020-09-17
18,2,NULL,NULL,1752,NULL,133.89,2022-01-07
19,1,NULL,775,2039,NULL,2773.03,2019-09-15
20,2,NULL,NULL,1186,NULL,78.01,2020-08-09
21,2,NULL,NULL,1398,NULL,86.29,2018-01-26
22,1,NULL,111,375,NULL,2112.28,2019-07-31
23,1,NULL,975,894,NULL,1665.74,2015-06-22
24,2,NULL,27,2147,NULL,335.44,2015-02-28
25,2,NULL,NULL,266,NULL,174.9,2021-09-19
26,1,NULL,637,997,NULL,1427.59,2015-07-07
27,4,4955,NULL,75,NULL,638.17,2030-12-04
28,4,2887,NULL,681,NULL,165.05,2026-11-06
29,2,NULL,NULL,2450,NULL,810.54,2017-01-27
30,1,NULL,229,465,NULL,2254.33,2021-02-26
31,1,NULL,1129,1701,NULL,4653.2,2017-05-01
32,2,NULL,NULL,1861,NULL,230.15,2020-10-30
33,2,NULL,NULL,441,NULL,128.97,2016-09-02
34,4,19278,NULL,1161,NULL,839.36,2041-09-23
35,1,NULL,266,155,NULL,3978.61,2015-07-18
36,2,NULL,NULL,1483,NULL,339.6,2016-08-12
37,1,NULL,677,52,NULL,4505.91,2019-07-19
38,3,NULL,332,1095,1783,967.28,2022-11-11
