loan_payment_id,loan_id,scheduled_amount,principal,interest,actual_amount,scheduled_date,paid_date
1,1,777.74,772.34,5.4,NULL,2023-08-16,NULL
2,1,777.74,772.34,5.4,777.74,2023-09-15,2023-09-15
3,1,777.74,772.34,5.4,777.74,2023-10-15,2023-10-15
4,1,777.74,772.34,5.4,777.74,2023-11-14,2023-11-14
5,1,777.74,772.34,5.4,777.74,2023-12-14,2023-12-14
6,1,777.74,772.34,5.4,NULL,2024-01-13,NULL
7,1,777.74,772.34,5.4,777.74,2024-02-12,2024-02-12
8,1,777.74,772.34,5.4,777.74,2024-03-13,2024-03-13
9,1,777.74,772.34,5.4,777.74,2024-04-12,2024-04-12
10,1,777.74,772.34,5.4,777.74,2024-05-12,2024-05-12
11,1,777.74,772.34,5.4,777.74,2024-06-11,2024-06-11
12,1,777.74,772.34,5.4,777.74,2024-07-11,2024-07-11
13,1,777.74,772.34,5.4,777.74,2024-08-10,2024-08-10
14,1,777.74,772.34,5.4,777.74,2024-09-09,2024-09-09
15,1,777.74,772.34,5.4,NULL,2024-10-09,NULL
16,1,777.74,772.34,5.4,777.74,2024-11-08,2024-11-08
17,1,777.74,772.34,5.4,777.74,2024-12-08,2024-12-08
18,1,777.74,772.34,5.4,NULL,2025-01-07,NULL
19,1,777.74,772.34,5.4,777.74,2025-02-06,2025-02-06
20,1,777.74,772.34,5.4,NULL,2025-03-08,NULL
21,1,777.74,772.34,5.4,NULL,2025-04-07,NULL
22,1,777.74,772.34,5.4,777.74,2025-05-07,2025-05-07
23,1,777.74,772.34,5.4,777.74,2025-06-06,2025-06-06
24,1,777.74,772.34,5.4,NULL,2025-07-06,NULL
25,1,777.74,772.34,5.4,777.74,2025-08-05,2025-08-05
26,1,777.74,772.34,5.4,777.74,2025-09-04,2025-09-04
27,1,777.74,772.34,5.4,777.74,2025-10-04,2025-10-04
28,1,777.74,772.34,5.4,777.74,2025-11-03,2025-11-03
29,1,777.74,772.34,5.4,NULL,2025-12-03,NULL
30,1,777.74,772.34,5.4,777.74,2026-01-02,2026-01-02
31,1,777.74,772.34,5.4,777.74,2026-02-01,2026-02-01
32,1,777.74,772.34,5.4,777.74,2026-03-03,2026-03-03
33,1,777.74,772.34,5.4,777.74,2026-04-02,2026-04-02
34,1,777.74,772.34,5.4,777.74,2026-05-02,2026-05-02
35,1,777.74,772.34,5.4,777.74,2026-06-01,2026-06-01
36,1,777.74,772.34,5.4,777.74,2026-07-01,2026-07-01
37,1,777.74,772.34,5.4,777.74,2026-07-31,2026-07-31
38,1,777.74,772.34,5.4,777.74,2026-08-30,2026-08-30
39,1,777.74,772.34,5.4,NULL,2026-09-29,NULL
40,1,777.74,772.34,5.4,777.74,2026-10-29,2026-10-29
41,1,777.74,772.34,5.4,777.74,2026-11-28,2026-11-28
42,1,777.74,772.34,5.4,777.74,2026-12-28,2026-12-28
43,1,777.74,772.34,5.4,777.74,2027-01-27,2027-01-27
44,1,777.74,772.34,5.4,777.74,2027-02-26,2027-02-26
45,1,777.74,772.34,5.4,NULL,2027-03-28,NULL
46,1,777.74,772.34,5.4,777.74,2027-04-27,2027-04-27
47,1,777.74,772.34,5.4,777.74,2027-05-27,2027-05-27
48,1,777.74,772.34,5.4,777.74,2027-06-26,2027-06-26
49,1,777.74,772.34,5.4,777.74,2027-07-26,2027-07-26
50,1,777.74,772.34,5.4,777.74,2027-08-25,2027-08-25
51,1,777.74,772.34,5.4,NULL,2027-09-24,NULL
52,1,777.74,772.34,5.4,777.74,2027-10-24,2027-10-24
53,1,777.74,772.34,5.4,777.74,2027-11-23,2027-11-23
54,1,777.74,772.34,5.4,NULL,2027-12-23,NULL
55,1,777.74,772.34,5.4,777.74,2028-01-22,2028-01-22
56,1,777.74,772.34,5.4,777.74,2028-02-21,2028-02-21
57,1,777.74,772.34,5.4,777.74,2028-03-22,2028-03-22
58,1,777.74,772.34,5.4,777.74,2028-04-21,2028-04-21
59,1,777.74,772.34,5.4,777.74,2028-05-21,2028-05-21
60,1,777.74,772.34,5.4,777.74,2028-06-20,2028-06-20
61,1,777.74,772.34,5.4,777.74,2028-07-20,2028-07-20
62,1,777.74,772.34,5.4,777.74,2028-08-19,2028-08-19
63,1,777.74,772.34,5.4,777.74,2028-09-18,2028-09-18
64,1,777.74,772.34,5.4,777.74,2028-10-18,2028-10-18
65,1,777.74,772.34,5.4,777.74,2028-11-17,2028-11-17
66,1,777.74,772.34,5.4,777.74,2028-12-17,2028-12-17
67,1,777.74,772.34,5.4,777.74,2029-01-16,2029-01-16
68,1,777.74,772.34,5.4,777.74,2029-02-15,2029-02-15
69,1,777.74,772.34,5.4,777.74,2029-03-17,2029-03-17
70,1,777.74,772.34,5.4,777.74,2029-04-16,2029-04-16
71,1,777.74,772.34,5.4,NULL,2029-05-16,NULL
72,1,777.74,772.34,5.4,777.74,2029-06-15,2029-06-15
73,1,777.74,772.34,5.4,777.74,2029-07-15,2029-07-15
74,1,777.74,772.34,5.4,NULL,2029-08-14,NULL
75,1,777.74,772.34,5.4,777.74,2029-09-13,2029-09-13
76,1,777.74,772.34,5.4,NULL,2029-10-13,NULL
77,1,777.74,772.34,5.4,777.74,2029-11-12,2029-11-12
78,1,777.74,772.34,5.4,777.74,2029-12-12,2029-12-12
79,1,777.74,772.34,5.4,777.74,2030-01-11,2030-01-11
80,1,777.74,772.34,5.4,NULL,2030-02-10,NULL
81,1,777.74,772.34,5.4,777.74,2030-03-12,2030-03-12
82,1,777.74,772.34,5.4,777.74,2030-04-11,2030-04-11
83,1,777.74,772.34,5.4,777.74,2030-05-11,2030-05-11
84,1,777.74,772.34,5.4,777.74,2030-06-10,2030-06-10
